trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
8.684210526315789380e+00,5.000000000000000000e+00,1.000000000000000000e+01,8.681951730416958668e+00,4.734091106826049611e+00,7.516430550920656373e-01,9.929885243494032121e-01,8.232183660675499448e-01,4.271436356692290270e-01,9.479484215323299878e+00,8.542872713384580763e+00,9.011178464353939432e+00,2.144248442675812383e-01,2.816420597354782340e-01,2.469134570353966218e+00,5.632841194709564903e+00,2.885746084145855761e+00
8.684210526315789380e+00,6.000000000000000000e+00,1.000000000000000000e+01,8.301992251695313740e+00,4.945650162008469408e+00,6.813123505914100431e-01,9.539642226620763665e-01,7.453214058946214804e-01,1.054349837991531258e+00,8.582488916362308373e+00,1.757249729985885267e+01,1.307749310811058230e+01,3.477315205640065798e-01,2.853675989962550785e-01,4.004181145888560778e+00,4.756126649937583828e+00,3.199005842251232856e+00
1.236842105263157876e+01,1.000000000000000000e+00,1.000000000000000000e+01,1.283246326909224067e+01,1.106629170467309908e+00,1.404942216939852218e+00,1.412046772159853414e-01,1.665294795068832823e+00,1.066291704673099777e-01,1.346408557715226983e+01,1.066291704673099794e+01,1.206350131194163211e+01,1.107474518579332878e+00,2.520421075983930170e-01,8.954049299152053720e+00,2.520421075983930592e+01,1.199080402320160310e+01
1.236842105263157876e+01,2.000000000000000000e+00,1.000000000000000000e+01,1.272758092043073752e+01,2.173248292293660899e+00,1.129912105236824171e+00,5.089818262714342900e-01,1.280162689892283767e+00,3.123469068724752939e-01,1.035025153529931607e+01,1.561734534362376436e+01,1.298379843946154111e+01,8.330040679373204027e-01,2.319579069053114839e-01,6.734926506727271445e+00,1.159789534526557375e+01,7.143867177133869539e+00
1.236842105263157876e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.268566421617039630e+01,3.027857336518275932e+00,8.592608755191785130e-01,7.566421157515595963e-01,5.426875036059470858e-01,6.583472985902582009e-01,4.387686199367231588e+00,2.194490995300861158e+01,1.316629807618791936e+01,1.719703957409043638e-01,2.360185153567107563e-01,1.390398944288163019e+00,7.867283845223692396e+00,4.139920412184673104e+00
1.236842105263157876e+01,4.000000000000000000e+00,1.000000000000000000e+01,1.281814871441860682e+01,4.345610534197603236e+00,6.832315747598787237e-01,9.143846644268774915e-01,4.963930856821132664e-01,7.674770010781800655e-01,4.013390905514958362e+00,1.918692502695450486e+01,1.160015796623472895e+01,1.595619756488457774e-01,4.614183582890279411e-01,1.290075547799178768e+00,1.153545895722569803e+01,5.872037250321956670e+00
1.236842105263157876e+01,5.000000000000000000e+00,1.000000000000000000e+01,1.300226734222106018e+01,4.849413896246256961e+00,8.106255348170148256e-01,8.973359945303617247e-01,9.577543190779328475e-01,3.663834802221107578e-01,7.743545558502435533e+00,7.327669604442216489e+00,7.535607581472325123e+00,7.886234935387020917e-01,2.289512118103721461e-01,6.376104841376741383e+00,4.579024236207443366e+00,3.593037501460055960e+00
1.236842105263157876e+01,6.000000000000000000e+00,1.000000000000000000e+01,1.205709044998502399e+01,5.054196598556818465e+00,7.992028980432176466e-01,8.716728595829265069e-01,7.374516399340910189e-01,9.458034014431817571e-01,5.962374961169246035e+00,1.576339002405302914e+01,1.086288249261113847e+01,6.184710106619304426e-01,3.171510304230339972e-01,5.000403915990076165e+00,5.285850507050565916e+00,3.567264286325302791e+00
1.605263157894736992e+01,1.000000000000000000e+00,1.000000000000000000e+01,1.617038672882535266e+01,1.021762244966002209e+00,1.793366781311096947e+00,1.076167693140372972e-01,1.498091586966884492e+00,2.176224496600218800e-02,9.332373820449443969e+00,2.176224496600218661e+00,5.754299158524831981e+00,1.393891859263951982e+00,3.374064002417904995e-02,8.683260762627897478e+00,3.374064002417904717e+00,4.439605595039883390e+00
1.605263157894736992e+01,2.000000000000000000e+00,1.000000000000000000e+01,1.584128795524515532e+01,2.360476618530642501e+00,1.369282816339515874e+00,5.224218724752793808e-01,1.164870133786486184e+00,5.887679530414622331e-01,7.256568046538765415e+00,2.943839765207311032e+01,1.834748284930594053e+01,6.489173171322438760e-01,4.458587732951887483e-01,4.042435746069715563e+00,2.229293866475943631e+01,1.091273838417219721e+01
