SDfraction,Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
6.250000000000000000e-02,2.500000000000000000e+01,4.200000000000000000e+01,8.000000000000000000e+00,6.000000000000000000e+00,4.400000000000000000e+01,1.600000000000000033e-01,1.199999999999999956e-01,8.599999999999999867e-01,-4.027889168872320624e-01,1.345686567088452179e+01
1.250000000000000000e-01,2.500000000000000000e+01,4.600000000000000000e+01,4.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,8.000000000000000167e-02,8.000000000000000167e-02,9.200000000000000400e-01,-2.540908294093992548e-01,1.115230183567446964e+01
2.500000000000000000e-01,2.500000000000000000e+01,4.600000000000000000e+01,4.000000000000000000e+00,3.000000000000000000e+00,4.700000000000000000e+01,8.000000000000000167e-02,5.999999999999999778e-02,9.300000000000000488e-01,-7.958403885149596402e-01,1.055427000723872766e+01
5.000000000000000000e-01,2.500000000000000000e+01,4.700000000000000000e+01,3.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,5.999999999999999778e-02,8.000000000000000167e-02,9.300000000000000488e-01,-1.192015299515762683e+00,1.051149241179960825e+01
1.000000000000000000e+00,2.500000000000000000e+01,4.800000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,4.000000000000000083e-02,8.000000000000000167e-02,9.399999999999999467e-01,-1.273588798867253846e+00,1.051843396014825061e+01
