Ntrials,mExpectation,mSD,mError,rExpectation,rSD,rError
1.600000000000000000e+01,3.960494541413419967e+01,5.495936892733156220e+00,3.950545858658003340e-01,4.602220625305189827e+00,1.165431573128733245e+00,1.602220625305189827e+00
1.700000000000000000e+01,3.813799308811514521e+01,5.259784138845930990e+00,1.862006911884854787e+00,4.434793743833404633e+00,1.198641438727019226e+00,1.434793743833404633e+00
1.900000000000000000e+01,3.842852575998042397e+01,4.996495621233219886e+00,1.571474240019576030e+00,4.394441200699178651e+00,1.178606032618664701e+00,1.394441200699178651e+00
2.100000000000000000e+01,3.757696485067582159e+01,4.604797705777799344e+00,2.423035149324178406e+00,4.511340871078735049e+00,1.140120422010450385e+00,1.511340871078735049e+00
2.300000000000000000e+01,3.920489406275727617e+01,4.582788816232981510e+00,7.951059372427238259e-01,4.435564499793740012e+00,1.127204518906384623e+00,1.435564499793740012e+00
2.500000000000000000e+01,4.059173475182188895e+01,4.473000490258088213e+00,5.917347518218889491e-01,4.480663001035734894e+00,1.097762621458406640e+00,1.480663001035734894e+00
2.800000000000000000e+01,4.372808688150142586e+01,4.675288624642308655e+00,3.728086881501425864e+00,4.197626080412854677e+00,1.091259782738760897e+00,1.197626080412854677e+00
3.000000000000000000e+01,4.599976366197770972e+01,4.925880834067723590e+00,5.999763661977709717e+00,3.923234310379143608e+00,1.068334299611667371e+00,9.232343103791436079e-01
3.300000000000000000e+01,4.559861097281469711e+01,4.504440373577188517e+00,5.598610972814697107e+00,4.132494735353132498e+00,1.048029179459085913e+00,1.132494735353132498e+00
3.600000000000000000e+01,4.539531807102405736e+01,4.323967337475068007e+00,5.395318071024057360e+00,4.074436384877297535e+00,1.021310183969211138e+00,1.074436384877297535e+00
4.000000000000000000e+01,4.433324049088572849e+01,4.388128843990406480e+00,4.333240490885728491e+00,3.331812962780321907e+00,8.742699621782689112e-01,3.318129627803219073e-01
4.400000000000000000e+01,4.350779860386285236e+01,4.262964323236123398e+00,3.507798603862852360e+00,3.043262387782355027e+00,7.814444033200157458e-01,4.326238778235502735e-02
4.800000000000000000e+01,4.331537981654119562e+01,3.935372630932116422e+00,3.315379816541195623e+00,3.204723609871033219e+00,7.800310058413879588e-01,2.047236098710332186e-01
5.300000000000000000e+01,4.194951561137582985e+01,3.535376842339904346e+00,1.949515611375829849e+00,3.349251091422848603e+00,7.720347330793465579e-01,3.492510914228486030e-01
5.800000000000000000e+01,4.335556938051652764e+01,3.399161568597176331e+00,3.355569380516527644e+00,3.507043860651738232e+00,7.683080486608596660e-01,5.070438606517382318e-01
6.300000000000000000e+01,4.299551735931562746e+01,3.146534900172291760e+00,2.995517359315627459e+00,3.700587924835772036e+00,7.855580452601870212e-01,7.005879248357720357e-01
6.900000000000000000e+01,4.318328954856986002e+01,2.945380323793410415e+00,3.183289548569860017e+00,3.909414488948045108e+00,7.963114753836153525e-01,9.094144889480451077e-01
7.600000000000000000e+01,4.490009600752034657e+01,3.014394740043174092e+00,4.900096007520346575e+00,3.611604546398040405e+00,7.042047874325502166e-01,6.116045463980404051e-01
8.300000000000000000e+01,4.483586405214405346e+01,2.777236472888694685e+00,4.835864052144053460e+00,3.889723701784494114e+00,7.362278688296338691e-01,8.897237017844941143e-01
9.200000000000000000e+01,4.661479571898536278e+01,2.841810627557371571e+00,6.614795718985362782e+00,3.579709970366102390e+00,6.424798708505209399e-01,5.797099703661023895e-01
1.000000000000000000e+02,4.561835379326938522e+01,2.676885900566302823e+00,5.618353793269385221e+00,3.542465701807443690e+00,6.210025952304080166e-01,5.424657018074436898e-01
1.100000000000000000e+02,4.379476677153005681e+01,2.545704704642741234e+00,3.794766771530056815e+00,3.239755122261414044e+00,5.017938846720653157e-01,2.397551222614140443e-01
1.210000000000000000e+02,4.420552580944251986e+01,2.397643904915306212e+00,4.205525809442519858e+00,3.382892152037900946e+00,5.417167806382027218e-01,3.828921520379009458e-01
1.320000000000000000e+02,4.353626098625382923e+01,2.262355533738663826e+00,3.536260986253829230e+00,3.367285468687826633e+00,5.233348501228309857e-01,3.672854686878266328e-01
