trueMean,trueVar,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError
5.700000000000000000e+01,2.000000000000000000e+00,5.712793954131252860e+01,2.000041461892266614e+00,2.220504060881519415e+00,6.438957629560327842e-03,1.279395413125286041e-01,4.146189226661434191e-05,2.244553356360151075e-01,2.073094613330717095e-03,1.132642151246729123e-01
5.700000000000000000e+01,3.000000000000000000e+00,5.541585921153269112e+01,2.997523852969540936e+00,1.752289765059365179e+00,5.098047078935618454e-02,1.584140788467308880e+00,2.476147030459063814e-03,2.779194365732120975e+00,8.253823434863545583e-02,1.430866300040378292e+00
5.700000000000000000e+01,4.000000000000000000e+00,5.868390732084509409e+01,4.010697519177545800e+00,1.622464380433060516e+00,1.823093716190925251e-01,1.683907320845094091e+00,1.069751917754580006e-02,2.954223369903673735e+00,2.674379794386450016e-01,1.610830674671159368e+00
5.700000000000000000e+01,5.000000000000000000e+00,5.530647038993884479e+01,4.630430211965254728e+00,1.444392755157505537e+00,4.969917481699122619e-01,1.693529610061155211e+00,3.695697880347452724e-01,2.971104579054658412e+00,7.391395760694905448e+00,5.181250169874782152e+00
5.700000000000000000e+01,6.000000000000000000e+00,5.722416108389314360e+01,5.800212236979273683e+00,1.253116692394949272e+00,4.003087532096855639e-01,2.241610838931435978e-01,1.997877630207263167e-01,3.932650594616554085e-01,3.329796050345438463e+00,1.861530554903547019e+00
7.000000000000000000e+01,1.000000000000000000e+00,6.826855480018333822e+01,9.999999999999360512e-01,3.697712175753423036e+00,1.409628788883504374e-08,1.731445199816661784e+00,6.394884621840901673e-14,2.473493142595231120e+00,6.394884621840901673e-12,1.236746571300813002e+00
7.000000000000000000e+01,2.000000000000000000e+00,6.911191634931785188e+01,2.000000071817757075e+00,2.710758544800680347e+00,2.700998889096563218e-04,8.880836506821481180e-01,7.181775707465476444e-08,1.268690929545925883e+00,3.590887853732738222e-06,6.343472602168898078e-01
7.000000000000000000e+01,3.000000000000000000e+00,6.943433974604961634e+01,2.962461407695382576e+00,2.311989196705070082e+00,1.902119562855832946e-01,5.656602539503836624e-01,3.753859230461742413e-02,8.080860770719766606e-01,1.251286410153914064e+00,1.029686243612945251e+00
7.000000000000000000e+01,4.000000000000000000e+00,6.913757310792018984e+01,3.908846720536165442e+00,2.032389251804837205e+00,3.029819692139333331e-01,8.624268920798101590e-01,9.115327946383455782e-02,1.232038417256871687e+00,2.278831986595863945e+00,1.755435201926367927e+00
7.000000000000000000e+01,5.000000000000000000e+00,7.048844590305627378e+01,4.793439531281726396e+00,1.846228138496376348e+00,4.716131338578914978e-01,4.884459030562737780e-01,2.065604687182736043e-01,6.977798615089625400e-01,4.131209374365472087e+00,2.414494617937217313e+00
7.000000000000000000e+01,6.000000000000000000e+00,7.188543554427707249e+01,5.731581259027674236e+00,1.695328094626492366e+00,4.447689897843811746e-01,1.885435544277072495e+00,2.684187409723257645e-01,2.693479348967246612e+00,4.473645682872096074e+00,3.583562515919671121e+00
