Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
1.000000000000000000e+00,1.700000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01,1.499999999999999944e-01,2.999999999999999889e-01,7.750000000000000222e-01,8.396746145401738637e-02,1.135362563636242550e+00
2.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01,2.500000000000000000e-01,4.000000000000000222e-01,6.750000000000000444e-01,7.641748715043875095e-02,1.347387146772236699e+00
6.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000278e-02,1.000000000000000056e-01,9.250000000000000444e-01,2.693190415870646004e-01,4.644082921887929594e+00
1.300000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,5.000000000000000278e-02,2.000000000000000111e-01,8.750000000000000000e-01,-9.157162414758829305e-01,7.531686538285479848e+00
3.100000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000278e-02,1.000000000000000056e-01,9.250000000000000444e-01,-1.845527862642865058e+00,1.464734627588903493e+01
7.200000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e-01,8.750000000000000000e-01,3.621405412721344419e+00,3.716104930432354791e+01
1.700000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.295666471597451075e+00,8.027728603828040832e+01
4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.800757809257147812e+01,2.393530381628946486e+02
