Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
1.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,2.500000000000000000e-01,4.500000000000000111e-01,6.500000000000000222e-01,-3.856943145600126577e-02,8.114569921669595454e-01
2.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,2.500000000000000000e-01,8.249999999999999556e-01,7.710416397596731031e-02,1.260620791819624165e+00
3.000000000000000000e+00,1.300000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,3.499999999999999778e-01,1.499999999999999944e-01,7.500000000000000000e-01,-1.066496787662451623e-01,1.973855238911696564e+00
4.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,2.500000000000000000e-01,5.000000000000000278e-02,8.499999999999999778e-01,-3.865291539307875723e-01,2.077993213767680203e+00
6.000000000000000000e+00,1.600000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000056e-01,8.499999999999999778e-01,1.173820835666560952e-01,3.960726343110085423e+00
7.000000000000000000e+00,1.700000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,1.499999999999999944e-01,5.000000000000000278e-02,9.000000000000000222e-01,-5.217257744426575528e-01,3.817181236931055821e+00
9.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e-01,0.000000000000000000e+00,8.750000000000000000e-01,-5.714396809415788203e-01,4.500849190476479578e+00
1.200000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000056e-01,5.000000000000000278e-02,9.250000000000000444e-01,-3.084764568985406408e-01,6.145555154792918806e+00
1.600000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,5.000000000000000278e-02,5.000000000000000278e-02,9.499999999999999556e-01,-3.510484879687340021e-01,6.781469122301027497e+00
2.000000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,1.048711574925749845e+00,9.634688544842756386e+00
2.600000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00,9.749999999999999778e-01,1.260624835475317784e+00,1.159981589065468377e+01
3.300000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00,9.749999999999999778e-01,9.834310384810578398e-01,1.356892222158784200e+01
4.200000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00,9.749999999999999778e-01,4.259370591819219842e-01,1.693139439986982353e+01
5.400000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.407868282701281171e+00,2.154909940684446568e+01
7.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.519590166095804218e+00,2.889551134432463897e+01
8.900000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.322820973231614516e+00,3.501106728606470853e+01
1.150000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.131998342462497753e+00,4.734048644036411702e+01
1.470000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.814610006172688195e+00,5.650017735380802719e+01
1.890000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.488844293506690342e+00,7.176712438333294131e+01
2.430000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.344598863621559559e+00,9.143765667493994442e+01
3.120000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.576228721327879612e+01,1.137834391633719378e+02
4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.376430205727692702e+01,1.487627935676964910e+02
