Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
2.500000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,5.893935058790589210e-01,1.145743875978822857e+01
2.500000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000278e-02,9.749999999999999778e-01,1.122825499478017353e+00,1.155884074121345506e+01
2.500000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.128380863774020693e+00,1.415248748549810820e+01
