trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
5.000000000000000000e-01,7.999999999999998779e-02,5.000000000000000000e+00,5.186353460112391733e-01,-2.590394663872535030e+00,4.819432337526769611e-02,2.547489480774475790e-01,2.500650873704766269e-02,2.886869288782099585e-01,5.001301747409532261e+00,2.848935752765546425e+01,1.674532963753249959e+01,1.793166681941282814e-02,7.400234002717190340e-02,3.586333363882566072e+00,1.038959936812074325e+01,4.692011110851551869e+00
5.000000000000000000e-01,3.999999999999999667e-01,5.000000000000000000e+00,5.008052697083144045e-01,-8.901297350337052938e-01,6.248653740456968503e-02,1.004349811803980225e-01,2.123917100177177136e-02,4.708900650728949089e-02,4.247834200354354550e+00,4.818351047524712882e+00,4.533092623939533716e+00,1.282942765853804269e-02,3.508777630120833019e-02,2.565885531707608802e+00,3.667028153683839609e+00,2.871226844627679853e+00
5.000000000000000000e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.136746786717847568e+00,6.100865240185809890e-01,5.704685993895965979e-01,1.483983223124963335e-01,6.367467867178474572e-01,9.575666516408241902e-02,1.273493573435694941e+02,8.865700989854691016e+00,6.810752916671209789e+01,4.747900989327656363e-01,9.021631910098866503e-02,9.495801978655310904e+01,7.776521962791357545e+00,4.929807109304850599e+01
2.000000000000000000e+00,7.999999999999998779e-02,5.000000000000000000e+00,2.064545854994334739e+00,-2.361927616718230816e+00,1.005710757822557977e-01,5.121377068980902392e-01,8.929766785002782314e-02,2.648426968722205066e-01,4.464883392501389991e+00,3.343427108064856412e+01,1.894957723657497439e+01,9.127762606874213758e-02,2.643764147368338757e-01,4.563881303437106851e+00,3.998846731481760486e+01,2.103440867318052554e+01
2.000000000000000000e+00,3.999999999999999667e-01,5.000000000000000000e+00,1.999557663694039533e+00,-1.145715748277422064e+00,1.296702005847401584e-01,2.624018945978074946e-01,1.256988511246409368e-01,3.175157782085462066e-01,6.284942556232048005e+00,2.157037106216996136e+01,1.392765680920100557e+01,4.838287070712234128e-02,5.048295720075979265e-01,2.419143535356117258e+00,2.765350978802095838e+01,1.377345722513567239e+01
2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.727405137445924499e+00,7.737888508987424974e-01,8.049144853770275887e-01,1.801628359994656980e-01,5.940821742490359769e-01,1.307786976842957027e-01,2.970410871245179507e+01,1.393789382334747451e+01,2.182100126789963568e+01,3.418164180775586924e-01,7.850771497568746760e-02,1.709082090387793684e+01,9.018249219330412458e+00,1.298643018049593323e+01
3.500000000000000000e+00,7.999999999999998779e-02,5.000000000000000000e+00,3.570958899692768362e+00,-2.063967132305594809e+00,1.958317346620585264e-01,7.105438699774320188e-01,1.654055778588570946e-01,4.617615120026608011e-01,4.725873653110203243e+00,5.999381964611693263e+01,3.235984664961357282e+01,6.488808629226233693e-02,1.475387517134295057e-01,1.853945322636066484e+00,2.157762868823034452e+01,1.080170603193010415e+01
3.500000000000000000e+00,3.999999999999999667e-01,5.000000000000000000e+00,3.486219962761919700e+00,-1.405252567496706018e+00,2.276344816499276946e-01,5.380387490258888850e-01,1.703991824450676040e-01,6.423423716164180508e-01,4.868548069859074623e+00,4.202732635797609362e+01,2.344793721391758368e+01,9.750357314183609458e-02,5.861445554570994254e-01,2.785816375481031226e+00,2.751769202465553477e+01,1.486409613212918046e+01
3.500000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,3.090317947286596478e+00,6.446820911909133534e-01,7.504733771781938456e-01,2.607076199908928693e-01,4.905615720363153409e-01,1.229328139512722851e-01,1.401604491532329533e+01,1.201104223448488817e+01,1.301354357490409441e+01,4.507178135342204683e-01,8.014451215138186646e-02,1.287765181526344271e+01,8.025265208498170821e+00,8.186381169381142797e+00
