trueMean,trueVar,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError
5.000000000000000000e-01,7.999999999999998779e-02,5.517241377564485738e-01,-2.452756481957703905e+00,4.910321143060473450e-06,1.699125823388365764e-01,5.172413775644857381e-02,7.297216235055170586e-02,1.034482755128971476e+01,7.570059152192266438e+00,8.957443351740991488e+00
5.000000000000000000e-01,3.999999999999999667e-01,4.144252389255513314e-01,-8.356865865916144331e-01,9.316286639569702765e-03,1.811153099618138460e-02,8.557476107444866864e-02,8.060414528254067346e-02,1.711495221488973328e+01,8.394172818164804539e+00,1.275456251652726891e+01
5.000000000000000000e-01,2.000000000000000000e+00,4.969711300822050593e-01,6.804217576444019366e-01,4.031261602971481506e-01,8.161565619943761396e-02,3.028869917794940747e-03,1.272542291554334959e-02,6.057739835589881494e-01,1.264479708299182104e+00,9.351268459290851265e-01
2.000000000000000000e+00,7.999999999999998779e-02,2.077936557522999106e+00,-2.495868115133152099e+00,3.685469485726785427e-02,4.510053998550129783e-01,7.793655752299910588e-02,2.986052917510351179e-02,3.896827876149955294e+00,3.031082563144001707e+00,3.463955219646978279e+00
2.000000000000000000e+00,3.999999999999999667e-01,2.012655369527139193e+00,-9.295882836876924182e-01,7.278833924855805659e-02,9.352631858460429271e-02,1.265536952713919305e-02,1.329755181353731164e-02,6.327684763569596527e-01,1.320952996176086414e+00,9.768607362665230331e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.571656647760564463e+00,7.226570011801396465e-01,4.996448676708143410e-01,9.648774753962123529e-02,4.283433522394355375e-01,2.950982062019436025e-02,2.141716761197177732e+01,2.994955016557687699e+00,1.220606131426473340e+01
3.500000000000000000e+00,7.999999999999998779e-02,3.529838781030100403e+00,-2.512092433763073895e+00,9.958785677481848952e-02,5.167780390221251574e-01,2.983878103010040306e-02,1.363621054518171505e-02,8.525366008600114842e-01,1.372960770914481321e+00,1.112748685887246403e+00
3.500000000000000000e+00,3.999999999999999667e-01,3.437088030032463770e+00,-9.950603455424207322e-01,1.290112861166869684e-01,2.208176744572209749e-01,6.291196996753622983e-02,7.876961366826562561e-02,1.797484856215320947e+00,7.574716486142898830e+00,4.686100671179110222e+00
3.500000000000000000e+00,2.000000000000000000e+00,3.113126267088709209e+00,8.850309686814794574e-01,8.298878224405642490e-01,1.564566906013848124e-01,3.868737329112907908e-01,1.918837881215341712e-01,1.105353522603687999e+01,2.115297146396521910e+01,1.610325334500105043e+01
