trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,5.266016489363984476e+00,1.135638931695235776e+00,3.239970013010549654e-01,2.845502264324863972e-01,2.660164893639841432e-01,1.356389316952357760e-01,5.320329787279682421e+00,1.356389316952357582e+01,9.442111478401630009e+00,2.138424326350467919e-01,2.354898061542284038e-01,4.276848652700936171e+00,2.354898061542284182e+01,1.132700249319576002e+01
5.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,5.199557260877889497e+00,2.868904646212739440e+00,3.075337008517412540e-01,1.111828379543465806e+00,1.995572608778884427e-01,8.689046462127396619e-01,3.991145217557768632e+00,4.344523231063697466e+01,2.371818876409737342e+01,1.314969712558848036e-01,8.051500556694183297e-01,2.629939425117696405e+00,4.025750278347091182e+01,1.973202784903637053e+01
5.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,5.165258876871684279e+00,3.211101965255346080e+00,1.336815321548587843e-01,1.304576841601441606e+00,1.652588768716839185e-01,5.063414620890672735e-01,3.305177537433678481e+00,1.687804873630224378e+01,1.009161313686795935e+01,8.672417457389908907e-03,3.473787963303938686e-01,1.734483491477981920e-01,1.157929321101313036e+01,5.745216717399221906e+00
5.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,5.162174464168465704e+00,4.474934640722837642e+00,1.333746478689488424e-01,1.132986903823776537e+00,1.621744641684651767e-01,6.941435607991734980e-01,3.243489283369303422e+00,1.735358901997933501e+01,1.029853915167431921e+01,2.918404135332963029e-02,3.185674660111065815e-01,5.836808270665926335e-01,7.964186650277665258e+00,4.146467061088897843e+00
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.178894122598007854e+00,4.294831632640249808e+00,1.145356337325942747e-01,1.225867054135509004e+00,1.788941225980083816e-01,7.051683673597504143e-01,3.577882451960167742e+00,1.410336734719500917e+01,8.840624899577587570e+00,8.598056274279284802e-03,2.842970917987224788e-01,1.719611254855857030e-01,5.685941835974449354e+00,2.836453305984365958e+00
5.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,5.050634487418581564e+00,4.708936286038950314e+00,2.805130957766598931e-01,1.110303957659066754e+00,2.260218826742539378e-01,1.291063713961050574e+00,4.520437653485078755e+00,2.151772856601751016e+01,1.301908310975129623e+01,1.187831082827159046e-01,3.656620429688735574e-01,2.375662165654317981e+00,6.094367382814559697e+00,3.940022190558010617e+00
1.222222222222222143e+01,1.000000000000000000e+00,5.000000000000000000e+00,1.182054884131519934e+01,1.091709514017828564e+00,1.354848674099529138e+00,2.695486874192608018e-01,2.052986000501548780e+00,9.170951401782856394e-02,1.679715818592176291e+01,9.170951401782854617e+00,1.298405479385230876e+01,1.590852354615988506e+00,7.264849553933705462e-02,1.301606471958535849e+01,7.264849553933705018e+00,7.873992874955609622e+00
1.222222222222222143e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.115235586580594784e+01,3.054096038195669216e+00,7.338312464625509346e-01,7.759577937725026242e-01,1.164087394219456728e+00,1.054096038195669660e+00,9.524351407250101431e+00,5.270480190978348389e+01,3.111457665851679621e+01,9.367571599478933253e-01,9.241355658186095612e-01,7.664376763210037247e+00,4.620677829093048672e+01,2.504216212727939350e+01
1.222222222222222143e+01,3.000000000000000000e+00,5.000000000000000000e+00,1.249058705025837845e+01,3.608480314010755308e+00,9.905819329115838068e-01,9.044152964946828854e-01,5.168125624370176752e-01,6.828174040952704749e-01,4.228466419939235443e+00,2.276058013650902012e+01,1.349452327822412734e+01,3.414590550362917587e-01,5.652866787392701875e-01,2.793755904842387228e+00,1.884288929130900669e+01,9.499698052811600846e+00
1.222222222222222143e+01,4.000000000000000000e+00,5.000000000000000000e+00,1.283792000420358548e+01,3.992289773423586041e+00,6.932304197072237661e-01,8.688253285994074204e-01,6.156977819813616026e-01,6.219978874378064848e-01,5.037527307120231335e+00,1.554994718594516279e+01,1.029373724653269662e+01,1.887805069089809606e-01,6.049775359458801072e-01,1.544567783800753435e+00,1.512443839864700301e+01,7.595806803856908651e+00
1.222222222222222143e+01,5.000000000000000000e+00,5.000000000000000000e+00,1.306324555452698277e+01,5.196907315228839863e+00,9.280928025826936656e-01,7.830881431210801047e-01,8.410233323047616727e-01,3.823751153278898696e-01,6.881099991584413544e+00,7.647502306557797169e+00,7.264301149071104469e+00,6.914099760643922510e-01,2.327433313539451487e-01,5.656990713254118397e+00,4.654866627078901864e+00,3.631244457139278570e+00
1.222222222222222143e+01,6.000000000000000000e+00,5.000000000000000000e+00,1.204845787750458896e+01,5.055288564428175313e+00,5.441784022008128163e-01,8.503889374668066603e-01,1.137919403391907114e+00,9.447114355718252421e-01,9.310249664115604062e+00,1.574519059286375366e+01,1.252772012848967975e+01,4.949944240604892687e-01,4.119825387864930466e-01,4.049954378676730471e+00,6.866375646441550629e+00,2.946128089357070934e+00
1.944444444444444287e+01,1.000000000000000000e+00,5.000000000000000000e+00,1.793740288403752814e+01,1.039566873410386005e+00,1.956592112936125671e+00,1.321654098358458207e-01,1.604378802291724027e+00,3.956687341038582495e-02,8.251090983214581343e+00,3.956687341038582328e+00,6.103889162126582946e+00,1.445032901376158474e+00,6.131336525714344010e-02,7.431597778505958374e+00,6.131336525714344177e+00,6.749246573192253074e+00
1.944444444444444287e+01,2.000000000000000000e+00,5.000000000000000000e+00,2.005529123143455905e+01,2.250864803372897960e+00,1.601247586498083963e+00,4.688947445411049131e-01,7.651036423373035467e-01,3.653638442671821585e-01,3.934818732020418874e+00,1.826819221335910726e+01,1.110150547268976240e+01,6.283662218306598213e-01,2.258843299196817700e-01,3.231597712271965239e+00,1.129421649598408983e+01,5.819667396590705977e+00
1.944444444444444287e+01,3.000000000000000000e+00,5.000000000000000000e+00,2.001412992199621499e+01,3.145887609457625356e+00,1.389576118952970063e+00,6.935730225538958571e-01,9.665127029629629885e-01,5.719089214048663772e-01,4.970636758095238861e+00,1.906363071349554517e+01,1.201713373579539201e+01,6.081266140625772865e-01,2.113595974308781766e-01,3.127508300893254489e+00,7.045319914362606184e+00,3.463726859271503589e+00
1.944444444444444287e+01,4.000000000000000000e+00,5.000000000000000000e+00,1.848741380923413402e+01,4.341544586417937168e+00,1.159441397350521985e+00,8.556289091188242768e-01,1.227260177596485091e+00,6.572492891026275874e-01,6.311623770496209929e+00,1.643123222756569035e+01,1.137142799903095103e+01,8.097536366936254337e-01,3.071003466961872985e-01,4.164447274424360579e+00,7.677508667404682186e+00,4.524819791539836267e+00
1.944444444444444287e+01,5.000000000000000000e+00,5.000000000000000000e+00,2.067889799345421054e+01,4.863735389667221298e+00,1.203668254051504904e+00,8.144521511623820098e-01,1.530092157405678055e+00,4.184496849217428371e-01,7.869045380943487267e+00,8.368993698434858075e+00,8.119019539689173115e+00,1.036457570129406092e+00,2.299943669872230589e-01,5.330353217808374566e+00,4.599887339744459958e+00,2.971960302102363283e+00
1.944444444444444287e+01,6.000000000000000000e+00,5.000000000000000000e+00,1.961916427682421116e+01,5.152977615220865282e+00,1.196445228394911409e+00,7.151894214017870954e-01,8.883141965139984553e-01,8.470223847791344962e-01,4.568473010643421262e+00,1.411703974631890546e+01,9.342756378481164248e+00,8.118922473414650343e-01,6.002221234940299244e-01,4.175445843470391161e+00,1.000370205823383074e+01,5.139770223254520154e+00
2.666666666666666785e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.785525032001663703e+01,1.012734301758621003e+00,2.995203895619150902e+00,6.126305619804415376e-02,1.513345761289433877e+00,1.273430175862082583e-02,5.675046604835377373e+00,1.273430175862082514e+00,3.474238390348729943e+00,1.373754101364528912e+00,2.754950884726439092e-02,5.151577880116983366e+00,2.754950884726438787e+00,2.594117588951642794e+00
