SDfraction,Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
6.250000000000000000e-02,1.000000000000000000e+02,4.400000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.800000000000000000e+01,1.199999999999999956e-01,4.000000000000000083e-02,9.200000000000000400e-01,4.487097022891793907e-01,4.237058989108226115e+01
1.250000000000000000e-01,1.000000000000000000e+02,4.600000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,8.000000000000000167e-02,2.000000000000000042e-02,9.499999999999999556e-01,-1.028665640444569318e+00,3.955319880754110784e+01
2.500000000000000000e-01,1.000000000000000000e+02,4.800000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,4.800000000000000000e+01,4.000000000000000083e-02,4.000000000000000083e-02,9.599999999999999645e-01,-2.555452299997550636e+00,3.909426292327736263e+01
5.000000000000000000e-01,1.000000000000000000e+02,4.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,2.000000000000000042e-02,8.000000000000000167e-02,9.499999999999999556e-01,-3.356432363915136996e+00,3.903214824886283907e+01
1.000000000000000000e+00,1.000000000000000000e+02,4.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,2.000000000000000042e-02,8.000000000000000167e-02,9.499999999999999556e-01,-3.494660254470291161e+00,3.901046155843351215e+01
