trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
3.209999999999999964e+00,1.004754572603832469e-01,1.000000000000000000e+01,3.333435365669774164e+00,-2.216158219247620575e+00,1.942522693082510687e-01,6.367378530234036882e-01,1.813749498574138141e-01,1.582547356853920006e-01,5.650309964405414220e+00,1.835559154279155791e+01,1.200295075359848695e+01,7.935185516858488108e-02,1.872109075591469884e-01,2.472020410236289045e+00,2.449620624855523587e+01,1.183731938311230536e+01
3.209999999999999964e+00,2.523829377920773220e-01,1.000000000000000000e+01,3.243108596604269422e+00,-1.969770079264244078e+00,2.006983661117684170e-01,6.723095333414257357e-01,1.592362745492788834e-01,6.208756778362281015e-01,4.960631605896539398e+00,4.354462646367768741e+01,2.425262903478711607e+01,9.572138156964997424e-02,3.409062280726414818e-01,2.981974503727413683e+00,1.925175427427942765e+01,8.940560153843289726e+00
3.209999999999999964e+00,6.339572769844455946e-01,1.000000000000000000e+01,3.205394384455273915e+00,-5.009311697439865485e-01,2.652857593725076457e-01,2.483014228590651462e-01,1.848785599854830264e-01,1.852792023843303493e-01,5.759456697367071776e+00,1.679869268540092264e+01,1.127907469138399676e+01,1.168711312036636030e-01,2.458870806428848643e-01,3.640845208836873237e+00,1.897506159320768049e+01,9.575033611639360842e+00
3.209999999999999964e+00,1.592428682213989033e+00,1.000000000000000000e+01,3.122940512845864269e+00,5.145698165487091469e-01,5.768410295112579300e-01,2.154596060799425783e-01,1.956478097314486020e-01,9.511469579151451970e-02,6.094947343658835059e+00,9.966492296504814163e+00,8.030719820081824167e+00,1.249429227803926234e-01,5.791994526198274845e-02,3.892302890354910172e+00,6.563542097252883067e+00,4.919981811486406897e+00
3.209999999999999964e+00,4.000000000000000000e+00,1.000000000000000000e+01,2.689452800888693762e+00,1.288026474791252429e+00,9.910346384473809334e-01,1.098741687481846752e-01,5.205471991113058694e-01,9.826788632863803219e-02,1.621642364832728589e+01,8.982749343553965815e+00,1.259958649594062763e+01,3.974740194238930435e-01,9.805952236586837345e-02,1.238236820635180813e+01,8.378245995639593602e+00,7.657852538927719444e+00
4.000000000000000000e+00,4.000000000000000777e-02,1.000000000000000000e+01,3.853451837201856911e+00,-2.195301647345121232e+00,1.352060453826412212e-01,6.510590856987882313e-01,1.465481627981427282e-01,1.023574177523080220e+00,3.663704069953568787e+00,1.841060923363481834e+02,9.388489820315088252e+01,1.026608370974059631e-01,2.120489471079607946e-01,2.566520927435148813e+00,6.198446592955320256e+01,3.150845588562284760e+01
4.000000000000000000e+00,1.004754572603832469e-01,1.000000000000000000e+01,3.780212163420417770e+00,-2.110934312542715130e+00,1.685715794740500484e-01,6.750663061715161950e-01,2.197878365795821742e-01,2.166446634406134775e-01,5.494695914489553523e+00,2.815175423556608081e+01,1.682322507502781406e+01,7.132165748390911775e-02,2.522210538121864576e-01,1.783041437097727888e+00,3.869957975222988011e+01,1.951232097495572404e+01
4.000000000000000000e+00,2.523829377920773220e-01,1.000000000000000000e+01,3.791198252603415142e+00,-2.068452339999110823e+00,1.635496100556283749e-01,6.802884649185891863e-01,2.088017473965849413e-01,6.916445895261468246e-01,5.220043684914623228e+00,4.852975632901838310e+01,2.687490000696650583e+01,9.265992395774454160e-02,2.490403540038347019e-01,2.316498098943613471e+00,1.254523202855436992e+01,6.271983761121571632e+00
4.000000000000000000e+00,6.339572769844455946e-01,1.000000000000000000e+01,3.776939664282866094e+00,-6.346262757817201505e-01,1.918557989457245205e-01,3.655471656271530589e-01,2.230603357171338230e-01,2.644457105104386363e-01,5.576508392928345437e+00,2.236725914253104364e+01,1.397188376772969320e+01,1.010622722456576278e-01,2.470592548411415790e-01,2.526556806141440958e+00,1.761619133429243789e+01,8.678015326256833362e+00
4.000000000000000000e+00,1.592428682213989033e+00,1.000000000000000000e+01,3.298161694550520995e+00,5.734432005151417489e-01,6.637713759218974996e-01,2.515328639427980018e-01,7.018383054494791162e-01,2.878915417759456696e-01,1.754595763623697380e+01,3.213647381044673779e+01,2.484121572334185757e+01,3.392548377205575338e-01,1.740624174878286079e-01,8.481370943013939012e+00,2.225243537414421979e+01,1.500758362412675417e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01,2.721670766153912790e+00,1.335678933555735526e+00,9.552373374345496382e-01,8.436368482475267716e-02,1.278329233846087876e+00,5.061542756415491479e-02,3.195823084615218335e+01,4.896348540735527166e+00,1.842728969344385703e+01,4.212278782844942615e-01,3.048772832689716772e-02,1.053069695711235632e+01,2.841281267949906653e+00,5.998397191058368882e+00
